Month,Rating
2024-09,4.24
2024-08,4.31
2024-07,4.34
2024-06,4.32
2024-05,4.33
2024-04,4.43
2024-03,4.34
2024-02,4.49
2024-01,4.31
2023-12,4.39
2023-11,4.43
2023-10,4.38
2023-09,4.53
2023-08,4.37
2023-07,4.35
2023-06,4.52
2023-05,4.45
2023-04,4.19
2023-03,3.99
2023-02,4.25
2023-01,3.99
2022-12,4.15
2022-11,4.23
2022-10,4.38
2022-09,4.38
2022-08,4.39
2022-07,4.42
2022-06,4.46
2022-05,4.43
2022-04,4.46
2022-03,4.45
2022-02,4.35
2022-01,4.21
2021-12,4.43
2021-11,4.4
2021-10,4.4
2021-09,4.42
2021-08,4.42
2021-07,4.41
2021-06,4.41
2021-05,4.45
2021-04,4.52
2021-03,4.52
2021-02,4.51
2021-01,4.57
2020-12,3.41
2020-11,3.23
2020-10,3.46
2020-09,3.38
2020-08,3.43
2020-07,3.49
2020-06,2.91
2020-05,2.88
2020-04,2.48
2020-03,3.51
2020-02,2.77
2020-01,2.91
2019-12,2.46
