Version,Rating
6.99.1.2,4.38
6.98.0.6,3.97
6.96.0.5,4.1
6.94.0.2,3.91
6.93.0.3,4.12
6.92.0.3,4.32
6.91.0.1,3.91
6.90.0.1,3.92
6.9.6.3,3.05
6.9.5.7,3.36
6.9.1.2,1.0
6.89.0.2,3.92
6.88.0.2,4.38
6.87.0.1,3.67
6.86.0.3,3.83
6.85.0.1,4.07
6.84.0.2,4.44
6.82.0.1,4.26
6.81.0.1,4.44
6.80.0.1,4.4
6.8.0.12,3.4
6.79.0.1,4.56
6.78.0.1,3.86
6.76.0.9,3.67
6.75.0.1,2.57
6.74.0.1,3.33
6.73.0.2,3.5
6.72.0.4,4.43
6.71.0.5,4.2
6.7.0.10,4.0
6.69.0.1,5.0
6.68.0.1,3.0
6.67.0.1,5.0
6.66.0.1,4.33
6.64.0.3,3.0
6.63.1.3,2.5
6.62.0.2,5.0
6.61.0.2,4.27
6.60.2.5,4.5
6.6.6.18,3.0
6.59.0.2,3.5
6.58.0.1,4.0
6.56.0.2,3.0
6.55.0.7,5.0
6.51.0.2,3.88
6.50.0.6,4.67
6.5.0.11,3.67
6.49.0.3,4.35
6.48.0.1,4.67
6.47.0.1,2.0
6.46.0.3,1.0
6.44.0.3,3.4
6.43.1.1,3.0
6.41.0.4,4.5
6.40.0.2,4.0
6.4.0.12,3.0
6.39.0.1,3.83
6.38.0.2,4.0
6.37.0.3,3.75
6.36.0.2,3.67
6.35.0.3,1.0
6.34.0.4,4.0
6.33.0.2,5.0
6.32.0.5,2.33
6.31.1.1,2.0
6.30.0.2,5.0
6.3.0.10,3.0
6.29.0.2,3.25
6.26.1.2,4.75
6.25.0.3,4.0
6.24.0.2,5.0
6.23.0.5,1.0
6.21.0.5,5.0
6.20.0.3,1.0
6.2.0.11,3.0
6.19.0.3,1.0
6.18.0.7,2.0
6.174.0.1,3.58
6.173.0.1,4.14
6.172.0.2,4.36
6.171.0.1,4.36
6.170.0.1,4.29
6.17.0.7,1.0
6.169.0.2,2.0
6.168.0.1,4.4
6.167.0.3,4.38
6.165.0.2,4.38
6.164.0.1,4.41
6.163.0.1,4.53
6.162.0.2,4.51
6.161.0.1,4.52
6.160.0.2,4.42
6.16.0.5,3.0
6.159.0.1,4.47
6.157.0.2,4.41
6.156.0.2,4.35
6.155.0.1,4.41
6.154.0.2,4.38
6.153.1.2,4.45
6.153.0.1,5.0
6.152.1.1,4.57
6.152.0.2,4.34
6.151.1.3,4.46
6.151.0.4,3.64
6.150.0.1,4.43
6.15.0.2,5.0
6.149.0.3,4.54
6.148.1.3,4.49
6.148.0.3,4.64
6.147.0.1,4.57
6.146.0.2,4.55
6.145.2.1,4.45
6.145.1.2,4.2
6.144.0.3,4.38
6.143.1.1,4.44
6.143.0.3,4.75
6.142.0.1,3.44
6.141.0.2,4.0
6.140.0.1,4.51
6.14.1.1,3.0
6.139.1.3,4.5
6.139.0.1,4.5
6.138.0.1,4.53
6.137.0.1,4.56
6.136.1.2,4.64
6.136.0.1,5.0
6.135.0.2,4.59
6.134.0.3,4.44
6.133.0.1,4.58
6.132.0.3,4.48
6.131.0.1,5.0
6.130.0.1,5.0
6.129.1.1,4.51
6.129.0.2,5.0
6.128.0.1,5.0
6.127.0.1,4.67
6.126.0.1,4.57
6.124.0.1,4.67
6.123.0.1,4.49
6.122.0.4,4.47
6.121.0.1,4.21
6.120.0.1,5.0
6.12.1.8,4.33
6.119.0.3,4.74
6.118.0.1,4.43
6.117.0.1,4.62
6.116.0.1,4.4
6.115.0.2,4.4
6.114.1.2,4.25
6.113.1.2,4.57
6.113.0.3,4.12
6.112.0.2,4.18
6.111.0.3,4.31
6.110.0.1,4.29
6.11.1.1,5.0
6.11.0.9,1.0
6.109.0.1,4.5
6.108.1.2,4.6
6.107.0.2,5.0
6.106.0.3,4.02
6.105.0.11,4.44
6.104.1.1,4.83
6.104.0.2,4.83
6.103.1.4,4.4
6.102.0.2,3.0
6.101.0.5,4.36
6.10.0.9,5.0
6.1.1.20,2.33
6.0.1.15,3.0
5.8.0.15,1.0
5.7.0.10,2.5
5.6.0.14,3.0
5.5.1.17,3.67
5.5.0.18,4.0
5.42.0.8,1.0
5.41.1.0,3.67
5.40.1.2,1.25
5.4.0.14,1.0
5.39.0.13,3.5
5.38.0.14,3.21
5.37.0.10,3.67
5.36.0.20,5.0
5.35.5.4,5.0
5.35.5.15,4.33
5.35.0.13,3.5
5.33.1.2,4.0
5.32.1.0,2.6
5.31.0.12,4.75
5.30.1.2,3.67
5.29.0.11,5.0
5.27.1.2,4.5
5.27.0.16,1.0
5.26.0.17,5.0
5.25.0.14,5.0
5.23.2.0,5.0
5.22.0.10,5.0
5.21.0.19,1.0
5.20.1.1,1.0
5.2.0.25,3.0
5.18.1.2,5.0
5.17.1.1,5.0
5.17.0.18,4.0
5.15.0.20,4.47
5.12.0.12,1.0
5.11.1.1,1.0
5.10.0.11,3.75
5.0.0.34,2.75
4.2.0.21,5.0
4.1.5.22,1.0
3.0.0.19,5.0
2.9.0.25,5.0
2.7.0.142,1.0
2.6.1.2,5.0
2.6.0.98,4.0
2.4.1.1,5.0
2.0.1.2,5.0
1.8.1.5,5.0
