Version,Rating
4.99.0,3.13
4.98.0,2.99
4.97.0,2.82
4.96.0,3.27
4.95.0,3.01
4.94.0,2.76
4.93.0,2.93
4.92.1,2.93
4.92.0,2.57
4.91.0,2.92
4.90.0,2.9
4.9.1,3.02
4.9.0,2.73
4.89.0,2.93
4.88.0,2.78
4.87.0,2.8
4.86.0,2.91
4.85.0,2.56
4.84.1,2.48
4.84.0,3.04
4.83.1,2.48
4.82.1,3.16
4.82.0,3.21
4.81.0,2.75
4.80.0,2.83
4.8.0,2.85
4.79.0,2.63
4.78.1,2.74
4.78.0,2.86
4.77.0,2.95
4.76.0,2.75
4.75.0,3.07
4.74.0,2.93
4.73.0,3.09
4.72.0,3.1
4.71.0,3.19
4.70.0,3.04
4.7.0,3.04
4.69.0,2.9
4.68.0,2.97
4.67.0,3.04
4.66.0,3.21
4.65.0,3.28
4.64.0,2.94
4.63.0,2.92
4.62.0,3.02
4.61.0,3.19
4.60.1,3.04
4.60.0,3.5
4.6.0,3.04
4.59.0,2.81
4.58.1,2.67
4.58.0,2.53
4.56.1,3.09
4.56.0,3.0
4.55.0,3.18
4.54.0,3.15
4.53.0,3.26
4.52.0,2.97
4.51.0,3.11
4.50.0,3.29
4.5.1,3.09
4.5.0,3.11
4.49.0,2.82
4.48.0,2.86
4.47.1,2.55
4.47.0,1.85
4.46.0,2.64
4.45.1,2.75
4.45.0,2.96
4.44.1,4.0
4.44.0,3.0
4.43.1,3.19
4.43.0,3.0
4.42.0,2.94
4.41.0,3.18
4.40.0,2.95
4.4.1,3.08
4.4.0,3.0
4.39.0,3.3
4.38.0,3.12
4.37.0,3.21
4.36.0,3.1
4.35.0,3.18
4.34.0,2.9
4.33.0,2.77
4.32.1,2.71
4.32.0,2.62
4.31.0,3.0
4.30.0,2.98
4.3.0,3.28
4.29.2,1.79
4.29.1,2.89
4.28.1,2.81
4.28.0,2.96
4.27.1,2.33
4.27.0,2.56
4.26.0,2.74
4.25.2,2.65
4.25.1,3.11
4.25.0,1.5
4.24.2,2.73
4.24.1,2.7
4.24.0,2.08
4.23.2,2.56
4.23.1,2.0
4.22.1,2.71
4.22.0,2.73
4.21.3,2.94
4.21.2,2.79
4.21.0,3.87
4.20.0,2.92
4.2.0,3.41
4.19.0,3.2
4.18.0,3.04
4.17.0,3.0
4.16.1,3.04
4.16.0,3.04
4.15.0,2.78
4.146.0,2.91
4.145.0,2.57
4.144.0,2.95
4.143.0,3.0
4.142.1,2.94
4.142.0,2.5
4.141.0,2.66
4.140.0,2.86
4.14.0,2.9
4.139.0,3.22
4.138.0,2.87
4.137.0,2.76
4.136.0,3.12
4.135.0,2.85
4.134.0,3.19
4.133.0,3.11
4.132.0,2.55
4.131.0,2.79
4.130.0,3.05
4.13.0,2.9
4.129.0,3.31
4.128.0,2.79
4.127.0,3.24
4.126.0,3.04
4.125.0,3.32
4.124.0,3.18
4.123.0,3.0
4.122.0,3.33
4.121.0,2.85
4.120.0,3.18
4.12.1,2.7
4.12.0,4.0
4.119.0,3.03
4.118.0,2.8
4.117.0,2.96
4.116.0,2.83
4.115.0,3.06
4.114.0,3.18
4.113.0,3.16
4.11.1,3.04
4.11.0,2.87
4.109.0,3.04
4.108.0,2.97
4.107.0,2.98
4.105.0,3.14
4.104.1,3.39
4.103.0,3.17
4.102.0,3.18
4.101.0,3.16
4.100.0,2.8
4.10.3,2.76
4.10.2,2.38
4.10.1,3.0
4.10.0,1.0
4.1.0,3.32
4.0.6,2.5
4.0.35,3.28
4.0.34,3.14
4.0.31,2.68
4.0.30,4.07
4.0.28,3.24
4.0.22,3.3
4.0.2,1.0
4.0.18,2.25
3.9.0,1.0
3.81.2,2.78
3.81.1,2.23
3.81.0,2.44
3.8.0,2.75
3.6.0,2.43
3.59.0,2.61
3.58.0,2.77
3.57.2,2.68
3.56.1,3.03
3.55.0,2.6
3.54.0,2.11
3.52.0,2.17
3.5.1,1.0
3.49.0,2.51
3.46.0,2.82
3.45.0,2.71
3.44.0,2.5
3.43.0,2.67
3.42.0,1.5
3.41.0,2.0
3.40.0,2.56
3.4.1,1.0
3.38.0,2.29
3.37.0,2.78
3.36.1,1.0
3.36.0,4.0
3.35.3,2.91
3.34.0,1.5
3.32.0,2.71
3.31.1,1.57
3.30.0,2.14
3.3.0,3.33
3.29.1,1.5
3.28.1,1.0
3.27.2,2.22
3.26.0,1.0
3.25.0,3.0
3.24.0,2.08
3.23.0,1.0
3.22.0,2.0
3.21.0,1.83
3.20.1,1.17
3.2.1,3.0
3.2.0,1.0
3.19.0,1.0
3.18.0,1.25
3.17.0,2.5
3.16.1,2.33
3.15.1,1.75
3.15.0,1.0
3.14.0,1.75
3.13.1,1.0
3.13.0,1.0
3.12.1,1.78
3.12.0,1.0
3.11.1,5.0
3.10.0,3.0
3.1.0,2.12
3.0.0,1.25
2.9.3,1.0
2.8.2,3.0
2.8.1,5.0
2.7.0,2.2
2.69.0,2.36
2.68.0,3.0
2.67.1,2.67
2.66.1,1.8
2.65.0,1.2
2.64.0,3.0
2.63.0,3.67
2.61.0,3.2
2.60.0,1.0
2.6.2,1.0
2.59.2,1.0
2.58.0,3.56
2.57.0,1.75
2.56.0,2.0
2.55.1,2.33
2.54.0,2.14
2.53.0,1.67
2.52.0,2.8
2.51.0,2.67
2.5.3,2.0
2.5.2,3.0
2.49.1,5.0
2.48.0,2.0
2.47.0,2.33
2.46.0,1.0
2.45.2,1.8
2.44.1,2.0
2.43.0,2.33
2.42.0,2.5
2.41.1,5.0
2.40.1,2.33
2.4.1,2.33
2.39.1,2.0
2.38.0,1.0
2.37.0,3.5
2.36.0,2.25
2.35.1,5.0
2.34.0,3.0
2.33.1,2.5
2.31.0,2.81
2.30.2,2.0
2.30.0,1.0
2.3.9,5.0
2.3.7,3.0
2.3.6,2.0
2.3.4,1.0
2.3.3,2.5
2.3.15,1.0
2.3.12,2.33
2.3.10,3.0
2.3.1,2.5
2.29.3,2.75
2.29.1,1.0
2.28.1,1.6
2.27.1,3.0
2.26.4,2.67
2.25.0,4.0
2.24.2,1.25
2.23.2,2.36
2.23.1,1.0
2.21.0,2.0
2.20.0,2.0
2.2.9,2.0
2.2.4,2.5
2.2.25,1.0
2.2.20,1.0
2.2.2,1.5
2.2.19,1.0
2.2.18,1.0
2.2.16,3.0
2.2.11,1.5
2.19.2,1.0
2.19.1,2.0
2.18.0,2.14
2.15.3,1.0
2.15.2,1.0
2.14.0,1.0
2.13.1,5.0
2.12.2,1.0
2.11.0,1.0
2.10.1,3.0
2.1.8,2.0
2.1.7,1.0
2.1.6,1.0
2.0.9,2.0
2.0.4,2.0
2.0.10,3.0
1.8.6,3.0
1.8.5,2.0
1.7.6,5.0
1.7.17,2.5
1.7.15,1.0
1.6.4,4.0
1.6.0,1.0
1.5.5,1.0
1.1.13,1.0
,2.33
