Month,Rating
2024-09,1.67
2024-08,2.26
2024-07,2.04
2024-06,3.24
2024-05,3.74
2024-04,3.73
2024-03,3.64
2024-02,3.3
2024-01,3.06
2023-12,3.57
2023-11,3.33
2023-10,3.71
2023-09,2.88
2023-08,3.41
2023-07,3.53
2023-06,3.38
2023-05,3.48
2023-04,3.76
2023-03,3.01
2023-02,3.32
2023-01,3.41
2022-12,3.14
2022-11,3.15
2022-10,3.64
2022-09,3.53
2022-08,3.91
2022-07,3.72
2022-06,4.0
2022-05,3.65
2022-04,3.86
2022-03,3.88
2022-02,3.71
2022-01,3.71
2021-12,3.9
2021-11,3.99
2021-10,3.82
2021-09,3.76
2021-08,3.77
2021-07,3.88
2021-06,3.75
2021-05,3.88
2021-04,4.16
2021-03,4.18
2021-02,4.14
2021-01,4.0
2020-12,3.98
2020-11,3.93
2020-10,4.07
2020-09,4.01
2020-08,4.17
2020-07,4.13
2020-06,4.27
2020-05,4.26
2020-04,4.25
2020-03,4.15
2020-02,4.13
2020-01,4.13
2019-12,4.19
2019-11,4.14
2019-10,4.23
2019-09,4.2
2019-08,4.25
2019-07,4.08
2019-06,4.34
2019-05,4.23
2019-04,4.37
2019-03,4.48
2019-02,4.47
2019-01,4.35
2018-12,4.39
2018-11,4.48
2018-10,4.45
2018-09,4.5
2018-08,4.48
2018-07,4.55
2018-06,4.38
2018-05,4.27
2018-04,4.0
2018-03,4.3
2018-02,4.46
2018-01,4.31
2017-12,4.2
2017-11,4.65
2017-10,4.51
2017-09,4.55
2017-08,4.23
2017-07,4.41
2017-06,4.3
2017-05,4.36
2017-04,4.5
2017-03,4.57
2017-02,4.71
2017-01,4.59
2016-12,4.53
2016-11,4.55
2016-10,4.56
2016-09,4.64
2016-08,4.52
2016-07,4.53
2016-06,4.52
2016-05,4.58
2016-04,4.69
2016-03,4.66
2016-02,4.71
2016-01,4.53
2015-12,4.5
2015-11,4.81
2015-10,4.53
2015-09,4.63
2015-08,4.72
2015-07,4.5
2015-06,4.44
2015-05,4.65
2015-04,4.07
2015-03,4.27
2015-02,4.57
2015-01,4.57
2014-12,4.6
2014-11,4.67
2014-10,4.45
2014-09,4.54
2014-08,4.28
2014-07,4.26
2014-06,4.57
2014-05,4.63
2014-04,4.58
2014-03,4.74
2014-02,4.43
2014-01,4.45
2013-12,3.94
2013-11,4.6
2013-10,4.5
2013-09,4.56
2013-08,3.33
2013-07,1.67
2013-06,3.25
2013-05,5.0
2013-04,1.5
2013-03,4.0
2013-02,1.0
2013-01,5.0
2012-11,3.0
2012-10,2.0
2012-09,3.0
2012-08,4.86
2012-07,5.0
