,content,score
0,"Awesome app, thanks",5
1,Craigslist is an Economic Freemarket option to American communities. One man's trash is another man's treasure for a very reasonable price.,5
2,Craigslist Delaware was the only place where I had any response. I tried rehoming at vet offices and community associations without any luck. Several people reached out and then the perfect Craigslist newbie contacted me.,5
3,to many weirdos,2
4,I appreciate the easy access,5
5,This app is cloned,1
6,For me this app is not working.,2
7,five stars because this app works but be careful for predators and liars like those who want modeling photos but won't allow your father to come with you. like people who say they are selling a new flat screen for free or something to get a code.,5
8,"Rather easy as a buyer, seller, and job search",5
9,Duschbag site and it's employees...,1
10,great for selling cars!,5
11,Needs to refresh,2
12,I sold my car in few days after Craigslist posting.,5
13,its good,5
14,"This Craigslist app was much more user friendly than others I have seen/used. The various ways to talk to a possible buyer, is hands down the smoothest, fastest and more convenient for buyer and seller. Definitely worth a 5-Star rating!",5
15,works better than Facebook . period,5
16,ad sold my trailer in less than 24 hrs! I'm very happy with the listing.,5
17,got rid of it in 3hr,5
18,I have been buying and selling on Craigslist since the 90's. Great software and helpful tips.,5
19,"still one of the greatest places to buy and sell items locally, and a very straightforward and easy to handle simple app",5
20,I use Craigslist for everything jus gotta watch out for scammers and con artists. but if you're careful you can get really amazing deals.,4
21,Good!,5
22,Doesn't open for me,1
23,really love this app,5
24,I have been using Craigslist for years and always seem to have great success,5
25,having to charge for the basic listings now is ridiculous I understand specialized fields but looking for gig work come on,3
26,"Simple, navigatable app",5
27,Always find the app U need,5
28,Another source to be able to sell. Have some success here.,5
29,best service hands down,5
30,"Great app, serves its purpose. More people would use CL if they used the app.",5
31,"worked like it should and it's free to use, win win. the person who bought my chainsaw text me when he would be here (chosen meeting place) he was on time and friendly. No problems worked out great.",5
32,the best,5
33,Couldn't even start the app because it wouldn't take the city state and zip code that I was in,1
34,covers a large area of customers for me,5
35,found a buyer.,5
36,Why am i being told that your app will not work in L G Wing ?! Now i search for twin bed frame and it shows me nothing but one motorcycle !,2
37,I like the app let's go see.,5
38,Craigslist does what you think it does. App too,5
39,I love Craig and his list...,5
40,I've used Crglst..since day one.,4
41,Good app easy to find anything and everything we need .,5
42,Very poor search functionality. Unreliable search results. Sometimes ads aren't published evenb after email verification. Craigslist does nothing about scammers.,1
43,Success with my old standby Craigslist!,5
44,fairly ' decent,5
45,I've placed several postings for firewood for sale and always end up getting more orders than I can handle,5
46,Craigslist one of my favorite sites,5
47,CL rocks.,5
48,I was happy for the results,5
49,Excellent,5
50,Great place to finding accommodation and parttime jobs,5
51,"I have always did good listing with CL compared to most other sites. Good audience, good responses and good site support.",5
52,"Edit doesn't work, sends me to billing. Layout could be better",1
53,The og.,5
54,always got my back when I need to find what I need !!,5
55,nice.,4
56,"The CL app was bad before, you get search results nowhere near your area despite your location preferences. After the last update, the right column where you select the subcategory all but disappeared from view. Can't resize it, so you have to guess what you are selecting.",1
57,"I've been using Craigslist for twenty-four years, it's still the best place to find stuff! And rentals!",5
58,"Thanks, Craigslist, for the free posting and advice as I completed my ad. You gave me some tips on how to respond to inquiry and what a scam looks like. Sure enough, I got two scam responses within 24 hours of my posting, that looked just like the example you gave me. My items sold within three days to a reputable customer.",5
59,it's great the only reason I give 4 stars is because of the customers buying and selling not because of the app.,4
60,sold,5
61,i stopped using Craigslist years ago when bad people utilized the app for bad purposes. however that is not the case now. several days ago i utilized the app for employment purposes to earn some extra cash. everything was straight forward and worked out great. i intend to start utilizing the app more for multiple reasons moving forward.,5
62,Easy to find what you are looking for.,5
63,A very convenient app to use as an alternative to the web. I dig it! 😎,4
64,I put a ad in for a car for sale and within an hr had it sold!,5
65,fridge was sold cheap went fast],3
66,"Heavily dislike the fact that you need to be logged into play store to login or stay logged into craigslist app. Likely a deal breaker for me. Will be uninstalling. 1☆ major flaw Also major dislikes : Cons : The interface isn't complex enough , not enough information It doesn't tell you the # of listings you have up The listing page is too zoomed in. Wish it was a bit backed out and smaller Pros : Dark mode option",1
67,Smooth transaction .,5
68,Great 👍😃,5
69,"Until now, there has been no response & even there are some fake offers",2
70,Love,1
71,I would of 5vd it but they charge to sell your whip,4
72,a great place to sell stuff,5
73,"I use craigslist because it works well, and I don't particularly like farcebook marketplace, etc.",4
74,I found my beautiful German shepherd puppy on Craigslist.,5
75,you really have to weed out the scammers in the game players the other than that it's a great platform,3
76,great stuff and the safest place to find it yourself.,5
77,"Craigslist does NOTHING about the scammers and criminals that use its app. Replied to an ad for a security guard position. I talked with the ""recruiter."" He asked to email a picture of my ID and security license. It turned out to be a scam",1
78,Craigslist Works Every Time,5
79,This app is so fail! Maybe it works better on every other phone but it doesn't play nice with an S23 ultra. Pics stop loading soon after app starts. Annoying! I may check the browser version and see if the problem persists.,1
80,"Selling the rights to my screenplay. ""Exile"" 📙 on Craigslist (W L.A. Arts and Crafts section). Nice job Craigslist! 🕶",5
81,still a great app.,5
82,Awesome!¡,5
83,its simple ...easy and convenient........,5
84,easiest way to get into and find whatever your looking for fast!!!,5
85,absolutely wonderful. ty Craigslist 😁,5
86,KING OF CRUNK CRIME MOB PLAYA kAY WITh BALI BABY B,5
87,I had quite a few responses to the post and I was able to rehome the kitten in just a couple of days. Thank you craigslist!,5
88,Confusion,1
89,Great,5
90,Not sure I'm only here for a cheap beater to get to work,5
91,Very good 👍,4
92,This app makes selling pretty easy,5
93,great for garage sales,5
94,so easy to use to sell whatever you don't need anymore,5
