,content,score
0,Fun place to shop “ EBay: I have been with EBay for several years now ! I have enjoyed it the whole time ! I shop on here because I can find what I want and not have to get out on the road to go find it ! Not only do you have the convenience from shopping at home  but a good chance it’s going to be cheaper ! Your not burning gas and your safer shopping from your own home ! I don’t have to walk down aisle after aisle either ! I just use my fingertip ! I just found an item here on EBay that I could not find anywhere ! I’ve made a few calls and was given different phone numbers and not one helped ! I got on EBay and found it ! Yea ... I was real surprised ! I admit I did contact them several times to see if it was the real pieces I needed ! They even sent measurements of the part and everything was exactly the same size ! I just purchased it and just so happens that this review popped up ! I had to do it because this last purchase was one that I thought would not happen after all the calling I have done and a lot of internet research ! I thought all that time looking for these parts that I was not going to have any luck ! I got on EBay and found it in about 5 minutes ! I purchased it and now I will wait for it to be delivered !,5
1,"listing templates on mobile?: I’ve been buying and selling on eBay a long time and love it, there’s one feature I wish they had for sellers though that I’m surprised they don’t - currently you can’t use a listing template for a new item on mobile, only desktop. I use templates for nearly everything to save a ton of time because my items are in the same category, same weight, same condition, and the base description is there. Currently I have to create a new listing from the template on desktop, save it as a draft, and then open the draft on my phone to upload the photos from my phone and finish the listing. I will say, switching between desktop and mobile when making a listing is pretty seamless, but if I could just list from a template on my phone I wouldn’t have to. Fingers crossed they implement this one day. Also as a buyer I hope for better keyword filtering options for saved searches, I get a lot of stuff I don’t want in my feed because of limited options..my searches end up being long strings of negative keywording that hits the character limit.

Small personal nitpicks though on a stellar app that I love and use daily…I enjoy most of the new features and updates..especially the new saved search layout option that populates new listing photos from all your saved searches on multiple scrollable rows, it makes quickly browsing new listings so much faster. Keep up the great work eBay!",4
2,"Upgrade your app: With many fads these days, opportunity is quick to pass by. Do not miss the opportunity to stay ahead of any competition. UPGRADE THE APP. Mobility is the path of the future. More and more people are starting to live on the go and the app is much easier to access while traveling. There are SO MANY features available on the website that are not available through the app. This costs the company tons of money by not adding many of the selling features. There are other things as well, such as the ability to send invoices, issue refunds, have better watch lists, having a better selling centers for eBay stores among others. You should also expand the ability save more drafts for a longer period of time as well as the ability to go further back on items sold by a seller. 2 months is ridiculous. Even the ability to go further back in terms of items bought would be smarter (2-3 years is great but 5-7 years would be much smarter). The search algorithms could also use some serious work. There have been numerous times where I was searching for items using key words in the titling and still have to search for 3-4 different terms to find items. You should also expand the “similar items” section and REALLY do some work on that. If you have any additional questions, feel free to reach out. I work for a Fortune 500 company and spend much of my free time on the app. I can provide some useful insight. Thanks.",3
3,"Somehow I owe eBay $ they’re taking from my account when I list for “free”: I’ve been selling on eBay for about three months now in the beginning I was really excited because I love Thrifting and finding chosen treasures and helping other people find their treasures as a result! Being out of work, a big part of the motivation for me was also that I need some income. in the beginning, there was a learning curve as far as what I sell the item for versus what I get in my bank account and win. It claims that it’s a 13 to 15% fee depending on the items and I was charging the customer shipping and I only ever listed the items in a way that according to eBay, it was meant to be free. Over the course of the last month however, eBay has multiple times claimed that I am indebted to them somehow and taken money out of my bank account including overnight last night to the tune of three different debit transactions. I genuinely don’t understand why and they’re most certainly not paying me as much as they claim to have according to my sales year to date versus my bank account and I’m so defeated and frustrated by the whole system the second I find employment again I don’t know that I’ll buy or sell on eBay when interacting with others and they’ve asked me what I think of it I’ve been perfectly honest with them and told them that I eBay is robbing me. Unless you’re selling items daily, it most certainly is not amount of income that is in anyway sustainable.",2
4,"Problems inside the app....: I don’t like the new format. While building ads, I should be able to turn features off and never be asked those questions again, like allowing the seller to give me a half price offer, shipping the item for free, or if I want consider reducing the price over time. Though those options might be consider by some, they absolutely don’t work for me and it adds extra time and worry to building an eBay ad. I would like to see, easier access for creating sales, easier distribution of my sale flier (past, non- following buyers), and more apparent of the actual things I purchase. They need to remove “sell” and “selling” terms on the front page, as it makes it more confusing to navigate. Finally, though buyer protection is nice, there needs to be a better follow through investigation on return items. Many times the buyers circumvent my “no return” clause, with made up conditions just to make me look like a bad seller. Often times, the past buyer’s have confessed that they did not read my description; only the title. This gives me an unfair advantage to me because they didn’t do due diligence before that bought the item.

I am always willing to further express my on going concerns. I have been a seller for a few years and have experienced several changes. I need some cooperation from EBay in order for me to continue as the luster of being a seller is starting to fade fast. Please let me know,
Tom",3
5,"My review didn’t go through? Yeah, no.: Update : they fixed it finally.

The interface and “tree” of categories in the numerous settings pages are an absolute cluster of a mess. What a disgrace. As a seller I tried to sell something (after a while of inactivity) and it takes me to a page with a FAKE CONTINUE BUTTON to verify my identity. The other option said call customer service. Inspecting the page easily shows the button is even labeled as FAKE with no action. I call eBay customer service and they tell me to press continue. What a joke. After staying on the phone with me to verify everything they said wait 24 hours and try another browser. I’ve tried several different browsers and different branded devices. I verified all my information, made sure my names and address all matches EXACTLY, and my CC and bank. I had to copy and paste several links and follow a set of arbitrary instructions suggested by THE COMMUNITY to see settings that are NOT AVAILABLE WHILE VISUALLY NAVIGATING. Fix your menu navigation. Yes, i unlinked my PayPal. What a joke. When customer service is telling you to press continue on a fake button, it’s clear the techs have no idea what’s going on. I’m not the only one complaining about this exact issue. End rant",5
6,"No excuse!: There have been improvements, which is about time. But… How is it possible one still cannot sort watched items for each particular seller? Are you ever going to include that option in the sorting/filtering list? If I want to buy something, I like to know if there are other items from that seller I have saved in my watchlist with which I can combine to be shipped together. This is an extremely necessary option and grave oversight. WHEN??? As far as eBay itself, their customer service (if you get through the wild goose chase maze of useless help menus and happen to get as far as contacting someone) is awful. Good luck getting anything resolved. eBay’s “money back guarantee” is a complete false claim and sham. Agents have flat out LIED to me. Yep. They told me I would get a refund for a ring that was not as described (much damage) and later said they knew nothing about it, no refund. They implied the seller was a “valued member”, so they pretended their previous ruling did not exist. They also arbitrarily make decisions on buyer’s behalf without allowing you to object and provide additional information to support your case. Another beef is there is no way to rate a seller/purchase after certain amount of time. Well, sometimes an international purchase does not arrive for some months, and/or problems are not discovered until later. I rarely visit eBay anymore due to my disgust with my experience mentioned above.",2
7,"Getting signed out every time I leave the app, or my phone closes while on the app: I’m an eBay seller, and customer and I’m constantly using the app for purchases, and in all the ways I need to operate my store. I’m in and out of the app countless of times a day, however for the passed 8+ months I’ve been getting signed out CONSTANTLY. it doesn’t matter if I leave the app for 10 seconds to reply to a text, use my calculator, or google something, or even if I look away from my phone for 30 seconds and my phone locks I still get signed out. The problem doesn’t happen on my computer browser, and I’ve spent countless of hours on the phone with customers service but they claim I’m the only person that has made this claim. The only solution they’ve provided that even slightly worked has been deleting the app and reinstalling, but even IF that works it never works for more than a couple hours. I’m not sure what else I can do to try and solve this, but it’s pretty ridiculous that I fork over over 25% to EBay in fees from every sale I make (not including the other % that comes out of every sale because I have to promote every listing to get any real amount of views) yet it’s been 8+ months of being signed out COUNTLESS amounts of times a day, and spending COUNTLESS hours talking to customer service about the same thing over and over and over to still be dealing with this. Please get this fixed. Im not sure what else im supposed to do or say about this.",1
8,"A Better Shopping Experience: I’ve been with EBAY almost 20 years and I’ve never once had a bad buying or selling experience that caused me some sort of anxiety to the point I wanted to cancel my membership.  I can always trust that the reviews and ratings given to both parties are accurate in helping me to decide if they are a legitimate, honest and straight forward EBAY’ER before I do business with them.  A much larger online store booted me from making anymore consumer reviews through my buying profile because I was giving them too many good reviews.  They said it was because of the descriptive “review wording” I was using that caused some suspicion and perhaps I was favoring that company more so over the others.  Could you believe that!  Reviews are meant to critique both the buyer and sellers shopping experience so other consumers can evaluate them and decide for themselves if they want to do business with them or not.  Also, I don’t mind waiting a few extra days of shipping to receive my product through EBAY because I know it will be what I ordered to begin with, and If I have any issues, I can trust it will be handled in a professional and friendly manner without any hassle.  For me, I’m back to doing more of my shopping on EBAY.  It’ll be worth it.",5
9,"eBay is excellent: Love the eBay app .. and everything about eBay My favorite place to get the things I like Aloha .. Dean

The only problem is I’ve called and explained a bad review to eBay that wasn’t erased as I spent many hours on the phone with eBay after I even finally got the buyer he gives me an unfair review making it very difficult to sell other items now plus actually lost money and spent many hours at home trying to give this guy his refund and I hope you will erase it as he claims he Accidentally pushed purchase but then how could he accidentally go to checkout and pay .. then I get all the blame it’s very sad 

Also I’m trying to bid on several inexpensive items and my restrictions still haven’t been lifted as I explained to the eBay customer service on the phone I’ve been in and out of the hospital from a hip replacement surgery where I wasn’t allowed access to my iPhone or laptop as they said it could interfere with the medical equipment and when I was released the items were already won at auction but unable to pay and then I got the restrictions as you can see I’ve been a loyal customer buying hundreds of items and would appreciate the bidding restrictions lifted please … thank you kindly.. Dean",5
