,content,score
0,"Is fast, well done, and the pictures look great. I bought way too much stuff, though.",5
1,"Trying to sign in to ebay on the app and password I'm using Is the right one as I use it on my computer but on the app it comes up with the words ""technical difficulties"" I don't know what to do is it the app and its not working properly. As I have unstalled and re-installed but still the same problem.",2
2,Great app.. You can most always find what you are looking for on eBay it has most anything you need,5
3,Love it it's awesome and always on time,5
4,Not very good I'm been charged a a eBay shop I am not a business,5
5,"Good price,easy return and good administrative intervention.",5
6,Good,5
7,Shite,1
8,Looooove it...... It's 🔥🔥💯,5
9,great experience!,5
10,Please ad some sort of confirmation when deleting listing drafts in the app. Frequently I will be scrolling through my drafts and the phone registers a downwards scroll as a sideways swipe and just deletes a draft with no confirmation. This is VERY frustrating!!!,3
11,This app is cloned,1
12,Great App..,5
13,Great app👍,5
14,Good selection and service. App allows me to quickly find and purchase items from Ebay independent sellers. I continue to be a fan. I save items to my Ebay and occasionally get offers. The infrequent returns are handled smoothly.,5
15,"Great for deal shopping, you can make offers etc.",5
16,Excellent,5
17,"So far the purchase experience has been satisfactory. Had no problem with the vendors, all the products arrived in timely manner, working fine. The 1-2 issues I had either wrong product or not reciving the order, the sellers had completed the refund with no major issues. Ebay is highly recommended.",5
18,eBay has always been good throughout the decades keep up the good work guys 👍 you guys are still super super when it comes to helping thank you 💯⚡️🔥🔥🥰💥💯❤️,5
19,Like it so much Shopping or auctions are so much fun,5
20,"the app has now taken upon itself to send me NOTIFICATIONS for items I looked at but was so disinterested in I didn't even bother to add to my watch list. This is pretty darned presumptious, and very annoying. Also, it sends loud push notifications for Buy It Now items. IF I wanted the Buy It Now item, I'd have bought it already. Constantly NAGGING, harassing and trying to be manipulative tends to lead to a divorce. There needs to be settings options to disable these types of notification.",1
21,"Easy to use, and very secure. Perfect for people on the go 👍👍👍👍.",5
22,"Closing a case and then taking the money for something I shipped takes the p*ss, ridiculous app stay clear of it.",1
23,EBay has a good app,5
24,Use it all the time Wotks great.,5
25,"It's run by PERVERTS trying to sell disgusting items! My recommendations will have kid's toys, non-fiction books, the Bible, electrical parts, shoes, things we actually look at. But then it throws in SEX DOLLS and other related items!! It's not an accident and can't be blamed on the algorithm. It's not the first time it has happened either!! It is DELIBERATE just like other PERV companies like Amazon, Etsy and Google, who are run by Chester, Chester, child mol******!",1
26,It is generally a good experience,4
27,Exceptional Deals,5
28,"Easy use, quick searches, and purchases are a snap.",5
29,Never a problem great shopping very convenient,5
30,Ebay is really good at hard to find parts,5
31,Easy to use. Very efficient.,5
32,"App has a huge glitch, does not show your offers as a notification. You have to go to each individual listing each day to check your offers. It will not notify you or show. Customer service DOESNT exist for this problem. Only good for desktop.",1
33,I prefer eBay over Amazon and others because of much better customer service and the ease of the rare return/refund which I've only had to do twice out of the many orders. Most everything arrives on the earlier dates of estimated delivery time.,4
34,Does what I need and I haven't had any issues with it.,5
35,"Really nice buyer protection, you can find some great deals.",5
36,Ebay doesn't allowed me to put my debit card on payout I dont know why they need to fix this I already put to many times doesn't work !! It doesn't make sense as a buyer when I put my debit it work !! As a seller put my debit card doesn't even work at all!! This piss me off,1
37,Cuz you're in a new town British are coming and we were getting mad 😡😡😡😡😡😡😡😡😡😡 YMCA,5
38,Won't let me sign in. Says there is an error. It's the same for the website as well,1
39,Easy to use. Always improving,5
