,content,score
0,"review rating: there are a lot of fake people. either they write "" is it available"", or "" i am interested"", BUT then after that they never respond. on a desktop or somewhere else is there a button that they might easily accidentally push? it gets annoying to have so many people inquire about your producr but then they never respond back. hard to say if they are fake people or what. it takes time away from your hands too. 

also is there any way in a phone or iphone to look up a person by their profile name for easier look up?it would be easier for buying too or selling lets say that person not familiar too much with offer up but they asked you to let them know if you have more items of what you sold them to let them know. 

and is there in settings to unblock people? once their blocked is there anyway to look them up of anyway of finding out who you've blocked. because then in the future you find a post they posted to sell but can't offer because we blocked them. yea maybe that one time theh said they were coming but never showed up so we blocked them, but then who knows maybe that person was real and not fake but had an emergency. so now has a post. wish there was a setting to see all the people you have blocked to unblock?",5
1,"Need to make some changes: There needs to be a way to remove more than one saved item at a time on boards, you have to remove them one by one and it forgets the spot you are at and goes to the top automatically. Also stop sending me more picks for you notifications it can confuse you into thinking you have an actual message or change the color from orange to another color keep messaging the same or make it red. Also make a way to remove my phone number I change my number and now I can’t access unless OfferUp sends me a verification even after I log in. I have email and password I would like to remove my number for my privacy I should have a option but once you use a number you have to keep using one. Meanwhile if you never use one you don’t need to use it as a verification. And stop asking me do I love the app it’s annoying you guys don’t even add features or changes but ask me constantly. Also a way to search by ratings and by how long they been on the app because so many scammers are making profiles the same day and are posting ridiculous offers. Also a better way to narrow down what I want to buy example if I’m looking for an iPhone 11 the 11 pro or pro max models show up when I’m looking for a specific item instead of just putting them in a melting pot make it a way I can specify exactly the item I need. Make some changes and the app would be much better it’s a decent app besides things I just named. Love the fact I can look nationwide very good feature.",3
2,"Great app!! Customer service needs work.: Offer up is an excellent app. It’s very easy to use. It’s fun to use! Customer Service however— needs a little work as of December 2017. I had an issue with a paid for feature called “bumps” which put your items above other sellers ads so your items are seen first. It’s a really nice feature. I paid for two but only received one. So I sent an email to the address listed on the app. I didn’t get a reply, so about a week later I sent another email. I still didn’t get a reply. Then by chance while using the app, a question came on screen asking if I liked the app or something on those lines. I explained my situation regarding the issue and how there had been no reply. I asked to please have Customer Service contact me. Within a week or two the issue was fixed. It was frustrating to not find customer service contact info on the app (most apps have this) causing me to have to go search for it here where apps are sold. There’s a “frequently asked questions” area on the app, but no email address or contact form. It was also frustrating not getting a reply. About a week after the issue had been fixed, (they didn’t tell me, I just happened to find out) customer service finally contacted me. At that point I no longer needed help. It would be great if there was a contact form or email address on the app and getting a reply would be good as well. That aside, it’s a great app for buying and selling items. I found it very easy to use!",3
3,"Customer service is down to a automatic replying program even when being sexually assaulted: I had someone pretend to be interested in an item only to try to get me to meet them at a bar when I told them I was married and my husband would meet them for the sale they changed their mind and I asked why they said openly they were trying to get me alone in a dark place and when I said they would be reported they said they would just make another profile. When I notified offer up 3 times and even demanded a supervisor or real person I got the same auto reply even as a reply to my follow up to the auto reply, “we are sorry and can see when this happens as frustrating.  We will open an investigation but you won’t be able to see the results we suggest blocking them”.  So they say they will open an investigation but you won’t know what happens and to block them so you won’t know if they were removed.   I also had a item I was selling that recently jumped in value and had a bunch of people call me derogatory names (not the small ones) when I sold it to the first person to pay. I reported. What did offer up reply?  “We are sorry this can be frustrating we will open a report but you won’t be able to see the results. We suggest blocking them”.   Serious you charge 13% for using the shipping service yet you earn nothing as there seems to not be a single human working there even when they e become the new sexual rapists Craigslist

Btw they ask you to email them. They never reply",2
4,"No contact information for customer support: I almost feel like I should give them one star but I’ve been able to do a couple of successful transactions on offer up hence the two stars. Been trying to send a message to customer support but it keeps directing me to their help page which just has a bunch of topics that are not specific. I don’t know if it’s because the app is poorly made that’s why it doesn’t have an option to send more pictures in the messaging page which forces you to send your phone number to a seller if you want more pictures of an item you are interested in. This is especially problematic and contradictory since offerup discourages members from exchanging phone numbers. But how can one get a more detailed description of an item? Or are we supposed to simply take the seller’s word about the product. I tried reaching customer service to make inquiries but it kept taking me back to the help page which like I said simply covers a bunch of topics and leaves no specific information on how to contact anyone one. The closest I got were links to Facebook, Twitter, Instagram and Pinterest. Some people like me are not on any of those platforms for personal reasons and I find it puzzling that offer up will rely on social media outlets to communicate about some sensitive matters with its consumers. I hope someone from offer up reads this and looks into the matter or better still contact me. This write up was a last resort to trying and reach out to someone from offer up",2
5,"Updates: Edited review: The messaging is still glitchy with latest update, but is no longer the most annoying thing on the app, so in a sense congratulations I guess?? Since the latest update, the ""Watching"" section has changed to creating boards, I'm assuming to compete with Pinterest, which is completely unnecessary. In consequence, the coding got changed and now I have over 300 ""saves"" I have to delete in the ""Quick Save"" of things I saved over 2 years ago that have since been sold or unlisted. This wouldn't be as annoying if as soon as something was ""unhearted"" it didn't go back to the top of the list, which it now currently does. Whoever did the coding for this section obviously doesn't use it or doesn't care if it's clean with only available items or has an insane amount of downtime on their hands.

Not sure why but a few days after an update it gets glitchy. For example, the last update was 5/9/17 and now I can't share an item. The messaging portion of the app needs help. Maybe start from scratch, I don't know, but it's always glitchy, recent update or not. It doesn't automatically load a new message especially when you're in that thread, you have to go out and go back in the thread. I get the cash register noise and I have to go to the messages page and slide down to refresh messages to get the new ones to come through. Especially annoying when you're trying to coordinate with a buyer/seller.",3
6,"So many advertisements and targeted content.: I’ve used Offerup for a couple years and have been very pleased with the selling aspect, however this last year or so has changed my opinion of the app enough to submit an updated review. I get notifications frequently from Offerup itself urging me to post more items, bump a listing, or update my preferences. It’s very annoying and turning of notifications only stops you from receiving message notifications, these keep coming through. Also you can no longer search for something without it completely ruining your browsing experience. The targeted advertising is atrocious. Search for a refrigerator? After you go back to regular browse there’s a half dozen ads per scroll regarding refrigerators and even when searching by most recent magically people are only selling refrigerators. It’s total trash. The app used to be about helping people sell their items, but they have recently sacrificed user experience for targeted ad’s and freemium services.

**UPDATE**

Now there are phantom notifications telling you someone has messaged you, recommended items, etc and even when you clear them from your notifications, the app icon has a notification badge that does not go away regardless if there is a notification or not. That means you won’t know if a notification is real unless you open the app and see, instead of, you know, giving you a notification when you have a message…",2
7,"Terrible App: Update : this app is trash! Complete trash. Still bots and scammers galore and now they are banning accounts with the vague explanation of community guidelines. Stay away at all cost! I’ve been back on the app no more than 3 days and I’ve been banned. Lol. I wrote and email asking some questions about selling an item and that’s the first response I received back. Maybe I broke guidelines in the email? Who knows? Who cares at this point? Will never use this app again. Would rate -5 stars if I could. 

The app itself it's ok. 1.99 to bump an item is flat out crazy though. What if the item you're selling is $5? Lol. Bumps should be free everyday or every other day. Something reasonable. The purpose is for the consumer to post and sell. If the consumer starts to feel that their items are being drowned out then why not go somewhere else and post? I'm sure they're are a few of these apps out now. I'm no computer person but I get the feeling this app is flooded with spammers/bots. I will receive messages from three different people basically making the same offer to me. None of them respond back when messaged. Not sure how the posting works either. I can scroll down for maybe 2-3 seconds and I see the same items again. At first I thought I was mistaken but it happens everytime I sign on. I don't see my item listed when I scroll either. Overall the app does what it says it does. Hopefully it doesn't turn into another Craigslist. Seems they are on their way though.",1
8,"Data mining app with limited functionality: If you’re looking for a basic app that collects your data, and limited functionality, this is for you. Examples of things that don’t work well: 1) when you want to end a listing, you’re required to say who you sold it to, or that you sold it elsewhere. Sometimes I just don’t want to sell it. Should be an option to not provide them more data. Furthermore you have to separately archive the item - seems like it should be done automatically or have the option to archive more than 1 at a time, as a basic function. 2) when there’s a rude user messaging you, and you report them, it goes into the ether. They can’t tell you how it’s resolved. You’d think they can look into the problem and let you know how they handled the issue. Seems like a basic courtesy. 3) you can’t turn off notifications for their “helpful” suggestions. I want notifications of other users who are messaging me, not “suggested” promotional items from OfferUp. When I escalated this issue, the response was to turn off all my notifications, which turns off notifications from other users too. When I pushed back saying there should be an option to stop those “helpful suggestions” notifications, they kept reiterating that the app isn’t designed that way. Again seems like they do not care about the end user experience and simply want to funnel you into basic pathways so they can collect as much data collection as possible.",1
9,"Not a 5-star app for buyers: If you’re an upper middle class woman who wants to sell things locally but is paranoid that Craigslist is dangerous, that the buyers will either kill you or Trojan-horse your email or social security number somehow, this app was clearly created for you. As a buyer, this app is terrible. The problematic behavior is now on the seller side. You inquire about an item and no one responds. This has happened to me with one item after another, and I’m asking specific details about the items, not using the generic insta-response “Is it still available?” There are items here that have been posted for *years*. Items that were posted in the last day or two where the seller doesn’t respond. Why are sellers ghosting people trying to give them money? In all seriousness, are the items posted fake? There’s no shortage of ads.

The designers of this thing have got to regulate sellers somehow. Time limits on posts that have to be manually renewed. Seller accounts that, if they do not respond or mark their items as sold, are warned and then shut down. Even better, allow shoppers, not just buyers who have completed transactions, to rate sellers.

The app seems to work OK functionally. I understand that to pay the bills they feel they have to place ads and sell your data. But this is a step down, not up from what’s already been available. I will be happy to use other alternatives, including older ones.",2
