,content,score
0,"Love!: I am totally addicted to Thredup! I have been shopping on this app for over a year, and most of my wardrobe now consists of these beautiful high end finds. I am very careful when buying and do my best to inspect, via the photos and descriptions, to buy items that will fit and are in good condition. Occasionally items don’t work out and it’s disappointing. I think there are a few things that Thredup can do to help customers choose well. I know they must be overloaded with items from clean out bags. Mistakes in the listings are unavoidable. When they occur, wrong size or a hole in an item listed as “like new” Thredup should waive the restocking fee since you can note these problems in your return. I also wish they would say in the description what size mannequin the item is shown on. I really think it would help since different manufacturers size differently. If I could see if the fit is loose or tight on the mannequin I could make more successful choices. I’ve noticed a size stamped into the back of some of the pant mannequins and it helps. It would also help to state the American size equivalent for foreign sizes. 
On the subject of clean out... beware! We all love free shipping, but you do risk someone in inspection not recognizing the value of an item, especially jewelry.  I sent in a sterling silver designer ring that had the name stamped into the band, and got a good payout. I sent in the matching necklace and earrings in my next clean out bag and they donated it:(",5
1,"My favorite shopping place: I love shopping on this website and I also enjoy this app.  This is my favorite place for finding great deals!  After losing weight I have had to shop and ThredUP has been my go to place for purchasing a new wardrobe at less of a price.  I don’t know about selling and I see many complaints about that.  I had to get rid of tons of clothing and chose to donate them instead.  That has always been my preference whenever getting rid of clothing.  Anyhow, I haven’t been disappointed by my purchases.  There were a couple of items that were supposed to be in excellent condition but I found some seams that had to be repaired since they were coming apart.  Heck that has even happened to me with brand new purchases at department stores.  After making those small repairs myself, the items are now in excellent condition.  I love the coupons/discounts and rewards which I fully take advantage of.  People also complain about smells when receiving clothing and yes I have also experienced that.  I always wash mine whether from ThredUP or any store immediately right after unpacking and I use laundry sanitizer just to be on the safe side.  After washing I no longer notice any strange smells.  I also like that you can search for your favorite brands and you can choose the condition of the item you are purchasing.  I have been using ThredUP for many years (since 2016) and absolutely enjoy it.",5
2,"Replace your Social Media Scrolling..: The only better thrift store is your local store that supports a good cause. ThredUp has anything you might want at a fair price. I’ve purchased the majority of my wardrobe from ThredUp since I discovered it in 2018, and my style is all over the place. Some days I want to be full on goth, some days vintage prairie cute, some days jeans and a tshirt. To be able to support that kind of wardrobe I needed a decent price alternative to regular store and a more ethical and sustainable solution than SHEIN. It’s so nice to be able to get quality clothing and know exactly what to expect in terms of sizing and quality. I spend a lot of time on the app, I’m more of a thrifter than regular shopper, I want to be inspired by my clothes so I never know what I’m looking for.. Here’s some thing I do, if your not familiar with a brand check out their site for an additional size reference. If you’re looking to save extra money, scour that outlet section and favorite items until you get 20+, then you get 40% the already low prices! I have been actively avoiding social media, so I’ve replaced the daily mindless FB scroll with something similar on this app. I’m never in hurry to get items, sometimes the sell before I buy but those must not be meant to be! I have a much more relaxed and well thought out approach to buying because of this app, and it’s carried over to more than just clothes purchases.",5
3,"My Favorite Way to Shop: I’ve been shopping on thredUP for over 2-3 years, and I still love it enough that it’s by far the place I do most of my shopping. That said, I am a little disappointed with a couple changes they have made in the last year or so.  My biggest problem is that they took away the free shipping bonus after spending a certain amount of money in a limited time. I like the bundle option now, but even that requires the initial shipping deposit on your first purchase. I look at items in my favorites list, and saved searches almost every day, and sometimes find one really great piece or something I can’t let slip by. If you’re purchasing one or two things a week it helped to earn that free shipping after hitting the goal so that everything after that for a month didn’t cost $5.99 every single time. 
I also understand the reason for the return fee, but am still a little disappointed when I receive an item that was listed with the measurements I know will fit, and yet it doesn’t. Or in the case of skirts, jackets, and swimsuits, there aren’t really any given. 
The bonus points do help with that, but if I use my $10 off, I still end up paying $5.99 shipping since you can’t combine them. As often as I shop on here, it’s a little disappointing to have the rewards change by taking away a better option and limiting the newer rewards.",5
4,"Like the app: Like the variety.  Like the bundle and save option.  DON’T LIKE  1) how can I get one of many notifications that 30 or more items were added to a sort and I sort by newest and there aren’t thirty new items.  2) have featured items saying “fall dresses” but there are tank dresses and sundresses and so much crap to scroll past that IS NOT fall.  Suggestions  1) I wish that when they mention an item has stains or an issue there would be an additional photos for that item with a focus on what they “saw” as an issue.  2)  need an update to notifications  to give more choices like as uploaded, or three times a day, once a day, or other, when they are uploading all day getting them constantly all day is annoying 3) would love a sort option where you could say “not this filter option” like not wool or ... 4) would love to have a saved searches on the main menu no buried where it currently is.  5) would be nice if they had suggestions based on style and brand types that I purchase that I could look at that might have similar items but in a brand that I hadn’t purchased or searched before or not.  6) in the searches (small, medium, 6 & 8 as an example) when it filters/Sorts bysizes. Could there be an additional choice to the  sort to group  them together so using my sort..all smalls display together 
, then mediums, size 6s, then 8s. Sure there are more suggestions..email if you want them",5
5,"Mostly Awesome!: Okay, so I may have a problem. I’m a serial thred-up thrifter now. Despite all its hype, i never enjoyed thrifting because it always felt overwhelming with the endless amount of clothes to sift through. I was inspired to give thred-up a try and am so glad I did. I’ve made it a habit that anytime I want to buy a specific type of clothing I will check thred-up first. I am really only into Madewell right now and I find a lot of gems for affordable prices. I like that you can save your searches (favorite brands) so that you can stay up-to-date with what is being added to the collection. Here are my only complaints: Make no mistake, ThredUp doesn’t have true thrift-store prices, but it’s really great for discounted designer & mid-tier brands. If you sell your clothes on consignment, they do take a large portion of the sale. They auto-set prices so they up-charge pieces often more than they’re worth, but you can go in and edit the price to what you want. It also takes SO LONG for them to sort through your items, get them listed, and to actually see the credit on your account—like months and months. I sent in some items in February 2022. I didn’t see my items posted until July 2022. Some of my items have sold and the larger payouts have yet to be distributed into my account, but I’ve received payouts for smaller sales. All in all, I do love shopping on the app and definitely recommend it for anyone wanting to be a more conscious consumer!",4
6,"Overall very happy!: I’ve been buying and selling clothes for months and have had overall a very positive experience!! The vast majority of the items I’ve bought online have fit me as expected. The app for a long time had a glitch that didn’t save items to favorites but that has been fixed so now I think the app is great. It takes a really long time to process a bag once they’ve received it (I have two bags they received over a month ago and haven’t processed yet). However, I know they’re only human and can only work so fast! The photos are good quality and I appreciate the details included with each listing. 

My ONLY tip for improvement would be for them to include item measurements for EVERY item, not just some of them. Guaranteed if the item doesn’t have measurements listed and I can’t find a reliable manufacturer sizing chart, I’m not going to take the gamble and make a purchase. Especially since they do charge a small but present re-stocking fee. Most items do have measurements listed, but I think every one of them should so I am confident in what I buy. 

Anyway this company has been an amazing experience for me! I love shopping second-hand clothes and there isn’t a thrift store near me, so this is a game changer! I log in almost every day just to see what else is new. The treasure hunt is so much fun and I’ve discovered several new favorite brands too!",5
7,"Love ThredUp!: I have been using ThredUp to buy and sell for a few years now. I absolutely love it for both.
As a buyer, I have gotten basically a brand new workout wardrobe for a fraction of the retail (Alo, Lululemon, and Nike leggings all for about 1/3 of retail in like new condition). I will also say that since the app has started, they are generally a lot more picky with condition than they used to be so if you had a bad experience due to quality in the past, I would give them another try. They do still make the occasional mistake on listed items due to their high volume. I ordered a pair of SPANX leggings that was a different pair than what was pictured. It was a final sale item, but they returned it easily for me. This is the only issue I have had with purchases. They also have become VERY picky with shoes and really only sell shoes that are like new. 
As a seller, it’s important to manage your expectations and be familiar with their payout structure before you send your items in. I have been using the Luxe program for the past year and am overall very happy with it. There are issues that arise, but CS deals with them fairly in my opinion. It may take a couple of days to get an answer, but that doesn’t bother me as long as there is a fair solution (which there usually is).
I have been overall really happy with ThredUp. I urge people to give them a try and be a sustainable shopper!",5
8,"Pretty good, all-in-all: I use thredUP a lot. I started using it in 2017 and it has definitely changed since then. There are more options and ways to filter your shopping now which is great, but some things annoy me. For instance, with the reward points, after spending so much money on this app, you can eventually “earn” $10 off. If you order over $79 worth of stuff you get free shipping. But if you want to use that $10 when you are ordering over $79, you are actually saving a measly $4 because they will tack that $6 shipping back on if the discount pulls you back under $79. So if you want to reward your customers for spending money with you and want them to keep coming back and using that discount, don’t rip them off of what they “earned.” If the amount before a coupon qualifies for free shipping, that shouldn’t be removed. The other thing that gets on my nerves is just how certain things are overpriced. Most of the time when I shop on this app I also have google pulled up to check actual retail prices. Saving $2 on something that has been worn isn’t really worth it if I could just go out and get a new one for almost the same cost. I get that they need to make a profit, but with how many people use this app I’m sure they still are. All-in-all, I do like thredUP. I don’t foresee me not using it anymore, I just hope they listen to their customers since I’ve seen a lot of reviews say the same things.",4
9,Order was wrong 😒: I ordered a purse from them witch is a no return policy on handbags witch is fine if you sent me the item I chose and paid for . Instead I got a hiking bag for a water bottle that I will NEVER ever use . I am extremely disappointed I have ordered from them quit a few times and have spent some money on this place ... and this is the second time I have received something that was wrong or the disciption was incorrect . I was beyond excited to receive this purse and once o open the box and seen what I had received it totally ruined everything.. and made me just not want to buy another item from them at all . I have three more orders from them that are on their way. But now I just wanna cancel everything & get my money back ! 😡 I use to love this website . But they have just ruined it for me . Now I can’t get in touch with nobody about my order . I can’t return it because it’s a no return policy . I almost feel scammed . 😕 they will not receive anymore of my hard working money. This is crazy and as a mother of 5 I don’t have much money to spend on myself and then the little money I do I don’t get what I ordered for myself . I’m just letting you know if you order from them Just know your taking that risk of getting something other then what you originally picked or paid for . Good luck !,5
10,"Great for if you’re in your twenties: I’ve been trying to build a larger wardrobe now that I’m in my twenties and ThredUp has been a great help! Like you can genuinely get an entirely new wardrobe for under 500$ and all of my items are brand names with tags or in like new condition. I definitely don’t recommend getting shoes or bags off of here though. My only issue is that often times they’ll describe items as in “Like new” condition but they’ll have scuffs on shoes or scratches on the hardware of purses. Still useable but definitely not “Like new”. I had that issue with a jacket recently too, that was all frayed and looked like something you pull out of a donation bin but it was described as “Like new”. I would definitely appreciate a more thorough evaluation of items, as well as if instead of listing items as the sizes marked on the clothing, you took actual measurements of it like mens clothing. There’s been a lot of times I buy things in size 4 and I receive them and they look more like a size 9 and I’ve had to just give them away. Actual measurements would be way more helpful. Overall it’s still extremely worth it and I’m not dissatisfied and will continue ordering off them. I still highly recommend this site but I do think they stand room for improvement. On a final note, I wish they carried mens clothes so I could buy clothes for my boyfriend too. I think you’re missing a huge demographic by not selling to them.",4
11,"Used to be so much fun!: I have been shopping with thredUP for several years. They have gone through many growing pains as any new company does. Unfortunately I have encountered several unacceptable issues over the last few months. The latest?  They simply cancelled an order that I placed for no reason. When I asked to speak with a manager so that I could understand what happened, I was told there wasn’t one available and that someone would email me. That never happened. Because of this order cancel, my bundle (which requires a certain amount for free shipping) was also messed up. The employees on the chat are sweet and really do try to be helpful however it doesn’t get anywhere. As some of you may know, thrifting is work!  Finding a style you like in your size and then getting it into your cart is not easy. So when you finally do “win” an item that you totally love, it’s a major disappointment for them to say “oops, order cancelled”. For this particular item, I  am embarrassed to admit that I refreshed my browser over and over for a period of about three hours to get it into my cart. I liked that top THAT much. Lol. And after my celebration, it was simply taken away. I have reached the point where I don’t think it’s worth my time to shop with them any longer and am slowly unwinding from my store credits. I would rather shop at other online retailers that care more about their clients. If you are thinking about starting a relationship with thredUP I would recommend elsewhere.",2
12,"No negative thoughts!: I have used thredUP for the past six months and have explored every facet of the website/app. The clean out bags are shipped directly to your house in an envelope and they hold a surprising amount of items. I have sent four bags of women’s clothing, maternity clothing, shoes, swimsuits, handbags, a little bit of everything. Each bag I’ve sent in has taken approximately three weeks to process once it arrived at their facility. The payout for the items accepted is reasonable and fair. I’ve used the store credit as well as discount codes to purchase items for my daughter (toddler) and myself. I’ve returned items (which is free) and received my refund in a timely manner each time. All of the items I’ve purchased have been in great condition and I’ve worn multiple times. I tell everyone looking for great deals to check out this app before stepping out to go shopping, because most items in this site look brand new and you only pay a fraction of the cost. The only thing this organization is missing is a men’s section. My fiancé is definitely jealous when my polka dot box comes in because he knows I spent much less than he typically would at another store and I receive more items for the money that I do spend. I am a firm believer in secondhand clothing after my experience with thredUP. I’ll definitely continue to be a loyal customer!",5
13,"Please fix these two things: I love thredUP so much, on any given day at least half of my outfit is from thredUP, if not all. The return process is super easy, I really enjoy the rewards system, and all the options to filter products makes it incredibly easy to find just what you’re looking for. However, there are a couple things I think can be improved upon. 1. I wish you would offer men’s clothes as well. I recommend thredUP to so many people, but you guys are missing out on a huge portion of people by not offering men’s clothing. & 2. If there’s a way to have multiple wishlists, I haven’t found it. I know it can be done because I have multiple saved searches, but all of the items that I actually favorite, are compiled into one giant list that’s hard to navigate.

Update: I am still waiting for both of these changes. Specifically the one that would allow multiple wishlists. When I save things, I like to be able to sort them into categories that way I’m actually able to tell how many of a certain type of item in interested in. If we can have multiple saved searches, there’s no reason as to why we don’t have the option to create multiple wishlists. It’s really overwhelming trying to navigate one big list as opposed to several smaller lists that are customized to your wants and needs. I know I’m not the only one that feels this way.",4
14,"Suggestions from a loyal customer.: I love ThredUP! For many reasons. First it is a way I can stop contributing to the real environmental problems fast fashion causes but also because I have always believed one persons trash is another persons treasure. I honestly would never be able to own some of the beautiful things I do because of the designer prices. You really do get what you pay for in clothing. Most big labels are big because their quality truly is better and the clothing is innovative. It lasts longer holds up better and feels nicer. My only suggestions are to send coupons to loyal customer into their email so it reminds us what a great place it is to shop. 20% off will get me to buy. Also why not let people who have spent a great deal of money with you hold that one or two items for a week until pay day. One last thing and it is my only complaint. The restocking fee of 2$ per item is just greedy. Having a return policy in necessary for online buying. The getting to try it on a home without being forced to keep it or loose money is a main reason I have shopped so long with this company. I would like to see the restocking fee negated at least on exchanges. Thanks ThredUP you have made me feel a little bit wealthier, a little bit prettier, sexier, more put together and most importantly luckier many times. I love you for it.",5
15,"Great Overall Experience!: I have been shopping on ThredUp's desktop website and the ThredUp app for over a year now. Shopping experiences on both platforms have been great. The process each time has been fun, easy, and seamless, and each item has arrived exactly as described. There has been a time or two I needed help from customer service (including a time where I made a mistake, not ThredUp) and customer service was very friendly and helpful both times, even helping me fix things after MY mistake...which they wouldn't have had to do. I would highly recommend shopping with ThredUp. Sometimes I see negative reviews online about selling to ThredUp based on low payout amount, however, I like that ThredUp is very transparent and gives you an estimate of what you'll receive based on brand name and condition. I would advise to check this before sending items in, and if you don't find it satisfactory, then don't sell to ThredUp. Keep in mind they do have costs associated with sending the clean out kit, assessing the items, listing the items, packaging/shipping the items, etc. Also, while you may not make a fortune, I like that the process is easy and you're able to keep these items out of landfills and de clutter. Overall, I've had a great experience with every aspect of ThredUp and would highly recommend them to a friend. Thanks, ThredUp!",5
16,"What happened to thredup!: I used to love this app, it WAS literally the best online thrifting app. It's went downhill from when I first started purchasing 6yrs ago, I would easily spend over $1000 in a year on amazing thrift finds! Which makes the new rewards program great for me because better perks to using the app! However, I spent over $1000 last year & didn't even recieve the right rewards tier! Contacting customer service is literally nonexistent, the chat is down & it's been almost a week now & I still haven't gotten a response through email! The estimated wait time through email is 8days to get your inquiry resolved...which is insane to me! I used to brag all the time about thredups customer service, but now its like they're under staffed. Then there's the issue with shipping, I've had so many issues FedEx, it's ridiculous! At this point I wish thredup would just switch to a new shipping provider, sometimes Fedex delivers or they send to usps & my shipment gets lost!! This is an ongoing issue that really needs to be looked at, I feel like a lot of the people who were really committed to thredup don't use the app as much anymore either. I really hope thredup improves the areas they are really failing because I'll have to stop purchasing from them if things don't improve.",5
17,"Mostly great: I’ve been a ThredUP user since 2016. It’s the first place I go for nearly every article of clothing I want, wear, or need. I also go there first for shoes and handbags. It’s best feature is huge inventory and second best is pricing. I can wear clothes I never would have bought retail, even on sale. I think my best purchase is a lovely Kate Spade satchel for nearly 75% off its retail price…I mean this thing is immaculate! I have also had my share of duds though. Items that are not in the condition as described, measurements that don’t match, even a pair of boots where the left was a different size than the right and the sole was detached. This latter item was described as having minor wear. OH, AND WHEN SHOPPING FOR BELTS, IT WOULD BE SUPER HELPFUL TO KNOW THE WIDTH OF THE BELT! LIKE MAYBE PHOTOGRAPH THE BELT WITH A RULER?!? Now I know they are doing the best that can be done considering the volume of clothing items dealt with on a daily basis. But I think the process used to evaluate/grade/measure items could be a little tighter. I would to have the ability to review/grade/evaluate each order I receive. Something like an A+ to D- would do it for me. It’s been a while since I’ve sold anything - primarily because it takes several months for a clean out kit to process. So I’ve been selling on Poshmark or at a local consignment shop. I do like the ability to donate clean out kits to charity - that process is easy.",4
18,"lacks customer support and efficient service: the concept of the app is good but they really need to work on aspects of the website itself. first of all, communication. it's not so much about how long it takes to respond (usually 2-3 days, sometimes a week), but the responses from the team. i sent in an item that i wanted to sell and two people told me i would be paid out this day because someone purchased it. on the day of my supposed payout, i'm sitting here confused because the item is still up for sale but i haven't gotten my payout. two days later someone finally tells me that it was cancelled and put up for sale again, but only after i contacted them. why didn't i get any notification if the item was cancelled? why don't i get any notification at all regarding the item? not to mention that your customer service team seriously needs to be worked on. i talked to somebody about my experience and they didn't offer any consolation at all. just straight to the point ""your item got cancelled."" i don't mind that it's cancelled, i just wish there was  empathic communication regarding that. Karly didn't even say anything like ""Hey! We're sorry for the confusion and we understand how you feel. This and that happened blah blah."" That is such trash customer service. If it was any other item I wouldn't have been so upset, but i did send in a $1,000 bag so excuse me if i feel like a little decent customer service is warranted.",3
