,content,score
0,"this app is trash. i would shop here more if that weren't the case but i get annoyed after 10 minutes of use and usually just go to depop or something. it's SO buggy, slow, and pages sometimes just don't load.",2
1,I sent them 46 items and made 0.6.,2
2,"Unable to see the full list of available items, it only lets me scroll through about 40 images and then stops. I tried uninstalling and re-installing, still a problem. I gave up and went to a local store to find what I needed instead.",1
3,"Service is good but the app is complete garbage. Issues sorting, purchasing, changing from tabs, finding items, loading, crashing.",1
4,The new update is so frustrating,1
5,What is with this $5 donations for what you send them??? Are they about to fail so can't even allow us to get merchandise for what we send? Their chat room ignored me when I asked if their Dun & Bradstreet credit rating had been downgraded.,5
6,"When trying to search for a brand you can only type in the first letter,say I want to look up Margaritaville you are only able to place in the m.",2
7,"Initially impressed at the selection and prices, that all went out the window when I got my order. One pair of pants had been labeled my size on the app, but when I got them, they weren't even close to my size! Despite this being their mistake, I still had to pay the restocking fee and the options to return are atrocious. I opted for the site credit figuring I could find something else, but now can't even get close to just spending the credit amount.",2
8,"Please make ""new with tags"" a searchable condition! I don't like used/pre-worn clothing at all. But I do like items that are NWT. It is not easy searching for these items.",3
9,"DO NOT send them anything. Their list of ""ineligible for payout"" brands is MASSIVE-- which they don't warn you about. Then, the stuff they do ""payout"" for they charge fees against, so you get NOTHING! To put salt in the wound, they show you how much theyre selling everything for. In our case they are selling everything we sent in for well over $200, but they ""gave us"" $6... which doesn't cover the fees... so we get nothing.",1
10,"Edit: they have updated the app. It works much better. I miss the ability to search for new with tag items. I have received items that were marked as excellent condition which were only good. Overall, I like it. It's a great concept, and I found some cool things, but the app only works %50 of the time. It's very laggy and sometimes it doesn't load.",4
11,Searches won't load and the app glitches a lot. Really frustrating,1
12,So why is this a sexist app? So adult males can't use this? Pretty offensive if you ask me...,1
13,"They get sizing wrong they put kids with women, I sent in 4-5 big boxes of clothes some nwt/never worn and ""higher end"" brands, almost nothing was picked, I was getting CENTS for them. App lags still Update coupons dont work it says coupon has changed but I'm still within the time frame I'm allowed to use it, if I send in clothes now I get to pick where $5 will go to charity. I used to love thredup, I used to work there. Now my opinion is be cautious. Have a yard sale instead of sending in stuff",2
14,Easy to use!,5
